Marca;Modelo;Tipo;Combustível;Impacto;Custo;Ano;Km;Cor;Cor_Tipo;Nº Portas;Dimensão;Capacidade_Carga;Ar Condicionado;Tipo de Caixa;Tração;Cavalos;Preço;Tecnologia;Segurança
Mercedes;E-Class;Hatch Back;Elétrico;Sustentável;Baixo;2022;33771;Verde;Metalico;5;Pequeno;Grande;Sim;Manual;4x4;299;82497.41;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Toyota;Corolla;SUV;Gasolina;Baixo;Elevado;2001;199491;Azul;Prolado;5;Grande;Grande;Não;Automática;4x4;531;78978.76;"CruiseControl;AssistenteEstacionamento;AssitenciaArranque;EcoMode;Autopilot;PainelDigital";"ABS;AssistenteTravagem;ControleTração;Airbags"
Chevrolet;Tahoe;CUV;Elétrico;Sustentável;Baixo;2023;56417;Verde;Metalico;3;Grande;Grande;Sim;Automática;Traseira;513;62002.76;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Chevrolet;Cruze;Sedan;Elétrico;Sustentável;Baixo;2022;30106;Branco;Prolado;5;Pequeno;Grande;Sim;Manual;Traseira;188;27519.93;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Honda;Civic;Sedan;Gasolina;Baixo;Elevado;2014;101324;Prata;Fluorescente;5;Pequeno;Grande;Sim;Manual;4x4;325;45075.25;"CruiseControl;EcoMode;AssistenteEstacionamento;AssitenciaArranque;PainelDigital;SOS;Autopilot;GPS";"AssistenteTravagem;Airbags;ControleTração"
Tesla;Model Y;CUV;Elétrico;Sustentável;Baixo;2018;43451;Vermelho;Cromado;5;Grande;Grande;Sim;Automática;Traseira;575;71061.92;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Toyota;Yaris;SUPERCAR;Gasolina;Baixo;Elevado;2002;233429;Branco;Fluorescente;3;Pequeno;Pequeno;Sim;Manual;Dianteira;97;26090.9;"PainelDigital;Autopilot;AssitenciaArranque;SOS;CruiseControl";"ControleTração;Airbags;ABS;AssistenteTravagem"
BMW;X5;SUV;Diesel;Alto;Normal;2010;82053;Cinza;Fosco;5;Grande;Grande;Sim;Manual;4x4;235;61257.22;"AssitenciaArranque;EcoMode;CruiseControl;GPS;SOS;AssistenteEstacionamento;PainelDigital;Autopilot";"ControleTração;AssistenteTravagem;Airbags;ABS"
Porsche;Panamera;SUPERCAR;Diesel;Alto;Normal;2023;48219;Branco;Prolado;5;Pequeno;Pequeno;Sim;Automática;Traseira;203;53511.47;"Autopilot;PainelDigital;AssistenteEstacionamento";"ABS;AssistenteTravagem;ControleTração;AssitenciaTrajetoria"
Porsche;Cayenne;SUV;Diesel;Alto;Normal;2012;80352;Verde;Prolado;5;Grande;Grande;Sim;Automática;4x4;576;14226.62;"GPS;EcoMode;AssitenciaArranque;AssistenteEstacionamento;Autopilot;CruiseControl";"AssitenciaTrajetoria;Airbags;ControleTração;ABS;AssistenteTravagem"
Volkswagen;Jetta;SUV;Elétrico;Sustentável;Baixo;2022;40888;Azul;Fluorescente;5;Grande;Grande;Sim;Automática;Traseira;362;4421.91;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Chevrolet;Malibu;COUPE;Elétrico;Sustentável;Baixo;2019;39958;Cinza;Metalico;5;Pequeno;Pequeno;Sim;Manual;Traseira;221;107057.4;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Audi;TT;CUV;Diesel;Alto;Normal;2000;230612;Verde;Fluorescente;3;Grande;Grande;Não;Automática;Traseira;63;111125.07;"EcoMode;AssistenteEstacionamento;CruiseControl;PainelDigital;GPS;AssitenciaArranque";"AssitenciaTrajetoria;AssistenteTravagem;ABS;ControleTração"
Mercedes;GLE;SUPERCAR;Gasolina;Baixo;Elevado;2020;173999;Vermelho;Metalico;3;Pequeno;Pequeno;Sim;Manual;Dianteira;314;35672.92;"Autopilot;CruiseControl;AssitenciaArranque;AssistenteEstacionamento;EcoMode;PainelDigital";"Airbags;ControleTração;AssitenciaTrajetoria;AssistenteTravagem;ABS"
Volkswagen;Jetta;SUPERCAR;Elétrico;Sustentável;Baixo;2022;41668;Verde;Fosco;5;Pequeno;Pequeno;Sim;Manual;4x4;65;40326.26;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Chevrolet;Malibu;SUPERCAR;Elétrico;Sustentável;Baixo;2023;46511;Vermelho;Fosco;3;Pequeno;Pequeno;Sim;Automática;Traseira;292;47833.04;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
BMW;i8;SUV;Gasolina;Baixo;Elevado;1996;176733;Verde;Fosco;3;Grande;Grande;Não;Automática;Dianteira;167;64803.14;"EcoMode;GPS;CruiseControl;SOS";"ABS;AssitenciaTrajetoria;AssistenteTravagem;ControleTração"
Mercedes;A-Class;Hatch Back;Diesel;Alto;Normal;2000;161593;Vermelho;Cromado;5;Pequeno;Grande;Não;Manual;Traseira;202;60883.17;"EcoMode;AssistenteEstacionamento;Autopilot;AssitenciaArranque";"ABS;AssistenteTravagem;Airbags"
Ford;Mustang;COUPE;Gasolina;Baixo;Elevado;2021;50986;Vermelho;Metalico;5;Pequeno;Pequeno;Sim;Automática;Dianteira;388;72213.96;"EcoMode;SOS;AssistenteEstacionamento";"Airbags;AssistenteTravagem;ABS;ControleTração;AssitenciaTrajetoria"
Chevrolet;Tahoe;SUPERCAR;Gasolina;Baixo;Elevado;2008;73930;Preto;Cromado;3;Pequeno;Pequeno;Sim;Automática;Traseira;360;23914.13;"GPS;EcoMode;Autopilot;PainelDigital;AssitenciaArranque";"Airbags;ControleTração;AssitenciaTrajetoria;AssistenteTravagem"
